Date,Open,High,Low,Close,Adj Close,Volume
2020-06-01,57.200001,59.933334,56.939999,59.873333,59.873333,224092500
2020-06-02,59.646667,60.577332,58.066666,58.770668,58.770668,203484000
2020-06-03,59.208000,59.862667,58.673332,58.863998,58.863998,119242500
2020-06-04,59.325333,59.716667,57.229332,57.625332,57.625332,133315500
2020-06-05,58.522667,59.101334,57.746666,59.043999,59.043999,117178500
2020-06-08,61.266666,63.333332,60.610668,63.327999,63.327999,212620500
2020-06-09,62.667332,63.629333,61.595333,62.711334,62.711334,170823000
2020-06-10,66.125336,68.498665,65.500000,68.336670,68.336670,278451000
2020-06-11,66.013336,67.930664,64.800003,64.856003,64.856003,238747500
2020-06-12,65.333336,65.865334,60.840000,62.352001,62.352001,251451000
2020-06-15,61.186001,66.589333,60.566666,66.059998,66.059998,235458000
2020-06-16,67.456665,67.525330,64.159332,65.475334,65.475334,210766500
2020-06-17,65.847336,67.000000,65.504669,66.119331,66.119331,148362000
2020-06-18,66.866669,67.946671,66.297997,66.930664,66.930664,146278500
2020-06-19,67.518669,67.731331,66.089333,66.726669,66.726669,130195500
2020-06-22,66.663330,67.258667,66.001335,66.288002,66.288002,95436000
2020-06-23,66.592003,67.466667,66.267334,66.785332,66.785332,95479500
2020-06-24,66.274002,66.725334,63.542667,64.056664,64.056664,164394000
2020-06-25,63.618000,65.732002,62.476665,65.732002,65.732002,138817500
2020-06-26,66.318665,66.333336,63.658001,63.982666,63.982666,132823500
2020-06-29,64.600670,67.333336,63.234669,67.290001,67.290001,135396000
2020-06-30,67.099998,72.512665,66.915337,71.987335,71.987335,253777500
2020-07-01,72.199997,75.688667,72.033333,74.641998,74.641998,199903500
2020-07-02,81.431999,81.866669,79.040001,80.577332,80.577332,258751500
2020-07-06,85.112663,91.852669,84.402664,91.438667,91.438667,308548500
2020-07-07,93.667336,95.300003,89.113998,92.657333,92.657333,322345500
2020-07-08,93.666664,94.484001,87.422668,91.058670,91.058670,244669500
2020-07-09,93.132668,93.903999,90.085335,92.952003,92.952003,175764000
2020-07-10,93.066666,103.261330,91.734001,102.976669,102.976669,350064000
2020-07-13,110.599998,119.666000,98.073997,99.804001,99.804001,584781000
2020-07-14,103.733330,106.000000,95.400002,101.120003,101.120003,351271500
2020-07-15,102.866669,103.333336,97.133331,103.067329,103.067329,245517000
2020-07-16,98.477333,102.113998,97.733330,100.042664,100.042664,214512000
2020-07-17,100.896667,102.500664,99.333336,100.056000,100.056000,139950000
2020-07-20,101.267334,110.000000,99.199997,109.533333,109.533333,256821000
2020-07-21,109.328667,111.666664,103.866669,104.557335,104.557335,241608000
2020-07-22,106.599998,108.428001,104.133331,106.155334,106.155334,212416500
2020-07-23,111.930000,112.599998,98.718002,100.871330,100.871330,364927500
2020-07-24,94.400665,97.666664,91.102669,94.466667,94.466667,290949000
2020-07-27,95.666664,103.195999,94.199997,102.639999,102.639999,240730500
2020-07-28,100.266670,104.313332,98.294670,98.432671,98.432671,237130500
2020-07-29,100.066666,102.320663,99.133331,99.940666,99.940666,141403500
2020-07-30,99.199997,100.882668,98.066666,99.166000,99.166000,114315000
2020-07-31,101.000000,101.136665,94.732002,95.384003,95.384003,183123000
2020-08-03,96.613335,100.653999,96.292000,99.000000,99.000000,132139500
2020-08-04,99.667336,101.827332,97.466667,99.133331,99.133331,126225000
2020-08-05,99.532669,99.989334,97.887337,99.001335,99.001335,74217000
2020-08-06,99.388664,101.153999,98.484001,99.305336,99.305336,89884500
2020-08-07,99.969330,99.983330,94.334000,96.847336,96.847336,133446000
2020-08-10,96.533333,97.166664,92.389336,94.571335,94.571335,112834500
2020-08-11,93.066666,94.666664,91.000000,91.625999,91.625999,129387000
2020-08-12,98.000000,105.666664,95.666664,103.650665,103.650665,327441000
2020-08-13,107.400002,110.078667,104.484001,108.066666,108.066666,306379500
2020-08-14,110.999336,111.253334,108.442665,110.047333,110.047333,188664000
2020-08-17,111.800003,123.057335,111.522003,122.375999,122.375999,303634500
2020-08-18,126.599335,128.259995,123.007332,125.806000,125.806000,247117500
2020-08-19,124.333336,127.400002,122.747330,125.235336,125.235336,183079500
2020-08-20,124.045334,134.799332,123.804001,133.455338,133.455338,309177000
2020-08-21,136.317337,139.699326,135.003326,136.665329,136.665329,322344000
2020-08-24,141.751999,141.933334,128.501328,134.279999,134.279999,300954000
2020-08-25,131.659332,135.196671,131.199997,134.889328,134.889328,159883500
2020-08-26,137.333328,144.399994,136.908661,143.544662,143.544662,213591000
